,type,year,g_capita_day
824,Demersal Fish,1990,0.89
771,Freshwater Fish,1990,0.88
877,Pelagic Fish,1990,1.2
1195,"Aquatic Animals, Others",1990,0.0
29,Animal Products,1990,25.23
1036,Cephalopods,1990,0.18
930,"Marine Fish, Other",1990,0.47
1089,"Molluscs, Other",1990,0.1
1142,"Meat, Aquatic Mammals",1990,0.0
983,Crustaceans,1990,0.24
82,Bovine Meat,1990,3.94
135,Mutton & Goat Meat,1990,0.65
294,"Meat, Other",1990,0.31
347,"Offals, Edible",1990,0.93
612,"Fish, Liver Oil",1990,0.0
241,Poultry Meat,1990,2.76
400,"Butter, Ghee",1990,0.03
1248,Aquatic Plants,1990,0.03
453,Cream,1990,0.05
559,"Fish, Body Oil",1990,0.0
665,Eggs,1990,1.93
188,Pigmeat,1990,3.66
506,"Fats, Animals, Raw",1990,0.02
560,"Fish, Body Oil",1991,0.0
295,"Meat, Other",1991,0.32
772,Freshwater Fish,1991,0.87
1143,"Meat, Aquatic Mammals",1991,0.0
1090,"Molluscs, Other",1991,0.09
136,Mutton & Goat Meat,1991,0.64
507,"Fats, Animals, Raw",1991,0.02
348,"Offals, Edible",1991,0.92
30,Animal Products,1991,25.03
878,Pelagic Fish,1991,1.13
613,"Fish, Liver Oil",1991,0.0
189,Pigmeat,1991,3.66
931,"Marine Fish, Other",1991,0.44
1037,Cephalopods,1991,0.16
242,Poultry Meat,1991,2.85
83,Bovine Meat,1991,3.89
666,Eggs,1991,1.98
1249,Aquatic Plants,1991,0.04
401,"Butter, Ghee",1991,0.03
719,Milk - Excluding Butter,1991,6.82
825,Demersal Fish,1991,0.86
984,Crustaceans,1991,0.25
1196,"Aquatic Animals, Others",1991,0.0
454,Cream,1991,0.05
508,"Fats, Animals, Raw",1992,0.02
296,"Meat, Other",1992,0.33
561,"Fish, Body Oil",1992,0.0
773,Freshwater Fish,1992,0.88
1091,"Molluscs, Other",1992,0.1
1038,Cephalopods,1992,0.17
137,Mutton & Goat Meat,1992,0.64
985,Crustaceans,1992,0.26
349,"Offals, Edible",1992,0.96
826,Demersal Fish,1992,0.77
614,"Fish, Liver Oil",1992,0.0
402,"Butter, Ghee",1992,0.03
455,Cream,1992,0.04
932,"Marine Fish, Other",1992,0.43
31,Animal Products,1992,24.86
667,Eggs,1992,1.96
84,Bovine Meat,1992,3.77
1250,Aquatic Plants,1992,0.06
190,Pigmeat,1992,3.75
720,Milk - Excluding Butter,1992,6.72
1197,"Aquatic Animals, Others",1992,0.01
243,Poultry Meat,1992,2.9
1144,"Meat, Aquatic Mammals",1992,0.0
879,Pelagic Fish,1992,1.06
138,Mutton & Goat Meat,1993,0.65
244,Poultry Meat,1993,3.0
1251,Aquatic Plants,1993,0.07
1039,Cephalopods,1993,0.17
85,Bovine Meat,1993,3.68
1198,"Aquatic Animals, Others",1993,0.0
403,"Butter, Ghee",1993,0.03
350,"Offals, Edible",1993,0.97
827,Demersal Fish,1993,0.77
32,Animal Products,1993,25.12
986,Crustaceans,1993,0.27
1145,"Meat, Aquatic Mammals",1993,0.0
509,"Fats, Animals, Raw",1993,0.02
721,Milk - Excluding Butter,1993,6.74
615,"Fish, Liver Oil",1993,0.0
880,Pelagic Fish,1993,1.07
668,Eggs,1993,2.0
1092,"Molluscs, Other",1993,0.12
297,"Meat, Other",1993,0.33
191,Pigmeat,1993,3.8
774,Freshwater Fish,1993,0.96
562,"Fish, Body Oil",1993,0.0
456,Cream,1993,0.04
933,"Marine Fish, Other",1993,0.43
457,Cream,1994,0.04
669,Eggs,1994,2.15
298,"Meat, Other",1994,0.34
828,Demersal Fish,1994,0.79
404,"Butter, Ghee",1994,0.03
510,"Fats, Animals, Raw",1994,0.02
987,Crustaceans,1994,0.29
934,"Marine Fish, Other",1994,0.42
192,Pigmeat,1994,3.87
245,Poultry Meat,1994,3.12
722,Milk - Excluding Butter,1994,6.87
563,"Fish, Body Oil",1994,0.0
1199,"Aquatic Animals, Others",1994,0.0
86,Bovine Meat,1994,3.68
1252,Aquatic Plants,1994,0.07
1040,Cephalopods,1994,0.17
33,Animal Products,1994,25.76
775,Freshwater Fish,1994,1.04
1146,"Meat, Aquatic Mammals",1994,0.0
351,"Offals, Edible",1994,0.99
1093,"Molluscs, Other",1994,0.13
881,Pelagic Fish,1994,1.1
139,Mutton & Goat Meat,1994,0.65
616,"Fish, Liver Oil",1994,0.0
1147,"Meat, Aquatic Mammals",1995,0.0
193,Pigmeat,1995,3.88
405,"Butter, Ghee",1995,0.02
723,Milk - Excluding Butter,1995,7.02
617,"Fish, Liver Oil",1995,0.0
882,Pelagic Fish,1995,1.1
458,Cream,1995,0.04
935,"Marine Fish, Other",1995,0.42
564,"Fish, Body Oil",1995,0.0
776,Freshwater Fish,1995,1.14
670,Eggs,1995,2.22
1094,"Molluscs, Other",1995,0.15
87,Bovine Meat,1995,3.65
140,Mutton & Goat Meat,1995,0.66
988,Crustaceans,1995,0.31
1253,Aquatic Plants,1995,0.07
299,"Meat, Other",1995,0.35
829,Demersal Fish,1995,0.86
246,Poultry Meat,1995,3.29
511,"Fats, Animals, Raw",1995,0.02
1041,Cephalopods,1995,0.18
1200,"Aquatic Animals, Others",1995,0.01
34,Animal Products,1995,26.39
352,"Offals, Edible",1995,1.01
777,Freshwater Fish,1996,1.21
565,"Fish, Body Oil",1996,0.0
353,"Offals, Edible",1996,0.99
883,Pelagic Fish,1996,1.11
512,"Fats, Animals, Raw",1996,0.02
1095,"Molluscs, Other",1996,0.14
618,"Fish, Liver Oil",1996,0.0
459,Cream,1996,0.03
194,Pigmeat,1996,3.85
671,Eggs,1996,2.27
1254,Aquatic Plants,1996,0.07
1042,Cephalopods,1996,0.18
247,Poultry Meat,1996,3.32
88,Bovine Meat,1996,3.65
141,Mutton & Goat Meat,1996,0.63
724,Milk - Excluding Butter,1996,7.06
35,Animal Products,1996,26.57
406,"Butter, Ghee",1996,0.02
300,"Meat, Other",1996,0.35
1201,"Aquatic Animals, Others",1996,0.01
830,Demersal Fish,1996,0.89
989,Crustaceans,1996,0.32
936,"Marine Fish, Other",1996,0.44
1148,"Meat, Aquatic Mammals",1996,0.0
884,Pelagic Fish,1997,1.1
513,"Fats, Animals, Raw",1997,0.02
301,"Meat, Other",1997,0.34
937,"Marine Fish, Other",1997,0.43
407,"Butter, Ghee",1997,0.02
990,Crustaceans,1997,0.32
1202,"Aquatic Animals, Others",1997,0.01
354,"Offals, Edible",1997,1.01
195,Pigmeat,1997,3.82
1043,Cephalopods,1997,0.19
1149,"Meat, Aquatic Mammals",1997,0.0
142,Mutton & Goat Meat,1997,0.65
248,Poultry Meat,1997,3.49
1096,"Molluscs, Other",1997,0.14
460,Cream,1997,0.03
36,Animal Products,1997,26.76
778,Freshwater Fish,1997,1.23
619,"Fish, Liver Oil",1997,0.0
89,Bovine Meat,1997,3.66
831,Demersal Fish,1997,0.88
1255,Aquatic Plants,1997,0.07
566,"Fish, Body Oil",1997,0.0
725,Milk - Excluding Butter,1997,7.03
672,Eggs,1997,2.32
249,Poultry Meat,1998,3.56
196,Pigmeat,1998,4.03
302,"Meat, Other",1998,0.36
779,Freshwater Fish,1998,1.24
355,"Offals, Edible",1998,1.03
673,Eggs,1998,2.37
461,Cream,1998,0.03
938,"Marine Fish, Other",1998,0.42
567,"Fish, Body Oil",1998,0.0
514,"Fats, Animals, Raw",1998,0.02
832,Demersal Fish,1998,0.87
1203,"Aquatic Animals, Others",1998,0.01
1150,"Meat, Aquatic Mammals",1998,0.0
143,Mutton & Goat Meat,1998,0.66
90,Bovine Meat,1998,3.63
1044,Cephalopods,1998,0.17
408,"Butter, Ghee",1998,0.02
1256,Aquatic Plants,1998,0.08
991,Crustaceans,1998,0.34
885,Pelagic Fish,1998,1.13
726,Milk - Excluding Butter,1998,7.08
620,"Fish, Liver Oil",1998,0.0
1097,"Molluscs, Other",1998,0.14
37,Animal Products,1998,27.21
939,"Marine Fish, Other",1999,0.42
1151,"Meat, Aquatic Mammals",1999,0.0
833,Demersal Fish,1999,0.83
780,Freshwater Fish,1999,1.3
38,Animal Products,1999,27.61
674,Eggs,1999,2.42
250,Poultry Meat,1999,3.68
621,"Fish, Liver Oil",1999,0.0
1098,"Molluscs, Other",1999,0.15
144,Mutton & Goat Meat,1999,0.67
91,Bovine Meat,1999,3.63
409,"Butter, Ghee",1999,0.02
992,Crustaceans,1999,0.34
303,"Meat, Other",1999,0.35
462,Cream,1999,0.04
568,"Fish, Body Oil",1999,0.0
356,"Offals, Edible",1999,1.09
727,Milk - Excluding Butter,1999,7.2
515,"Fats, Animals, Raw",1999,0.02
886,Pelagic Fish,1999,1.12
1204,"Aquatic Animals, Others",1999,0.01
197,Pigmeat,1999,4.05
1257,Aquatic Plants,1999,0.09
1045,Cephalopods,1999,0.2
1258,Aquatic Plants,2000,0.1
39,Animal Products,2000,27.88
198,Pigmeat,2000,4.1
251,Poultry Meat,2000,3.82
622,"Fish, Liver Oil",2000,0.0
463,Cream,2000,0.03
781,Freshwater Fish,2000,1.3
728,Milk - Excluding Butter,2000,7.15
516,"Fats, Animals, Raw",2000,0.02
1205,"Aquatic Animals, Others",2000,0.01
675,Eggs,2000,2.46
1046,Cephalopods,2000,0.21
92,Bovine Meat,2000,3.62
834,Demersal Fish,2000,0.81
1152,"Meat, Aquatic Mammals",2000,0.0
887,Pelagic Fish,2000,1.17
993,Crustaceans,2000,0.35
569,"Fish, Body Oil",2000,0.0
1099,"Molluscs, Other",2000,0.15
940,"Marine Fish, Other",2000,0.42
145,Mutton & Goat Meat,2000,0.68
304,"Meat, Other",2000,0.37
357,"Offals, Edible",2000,1.08
410,"Butter, Ghee",2000,0.02
411,"Butter, Ghee",2001,0.02
93,Bovine Meat,2001,3.51
1206,"Aquatic Animals, Others",2001,0.01
994,Crustaceans,2001,0.36
1047,Cephalopods,2001,0.2
1100,"Molluscs, Other",2001,0.15
835,Demersal Fish,2001,0.82
888,Pelagic Fish,2001,1.18
464,Cream,2001,0.03
729,Milk - Excluding Butter,2001,7.16
252,Poultry Meat,2001,3.91
40,Animal Products,2001,27.9
199,Pigmeat,2001,4.05
676,Eggs,2001,2.47
1259,Aquatic Plants,2001,0.1
358,"Offals, Edible",2001,1.04
305,"Meat, Other",2001,0.41
941,"Marine Fish, Other",2001,0.41
146,Mutton & Goat Meat,2001,0.66
517,"Fats, Animals, Raw",2001,0.02
570,"Fish, Body Oil",2001,0.0
782,Freshwater Fish,2001,1.37
623,"Fish, Liver Oil",2001,0.0
1153,"Meat, Aquatic Mammals",2001,0.0
306,"Meat, Other",2002,0.4
359,"Offals, Edible",2002,1.05
624,"Fish, Liver Oil",2002,0.0
995,Crustaceans,2002,0.37
1101,"Molluscs, Other",2002,0.16
783,Freshwater Fish,2002,1.38
1048,Cephalopods,2002,0.19
518,"Fats, Animals, Raw",2002,0.02
1260,Aquatic Plants,2002,0.11
465,Cream,2002,0.03
942,"Marine Fish, Other",2002,0.4
677,Eggs,2002,2.51
571,"Fish, Body Oil",2002,0.0
200,Pigmeat,2002,4.11
253,Poultry Meat,2002,4.03
836,Demersal Fish,2002,0.78
41,Animal Products,2002,28.27
730,Milk - Excluding Butter,2002,7.29
1154,"Meat, Aquatic Mammals",2002,0.0
147,Mutton & Goat Meat,2002,0.67
412,"Butter, Ghee",2002,0.02
94,Bovine Meat,2002,3.58
889,Pelagic Fish,2002,1.18
1207,"Aquatic Animals, Others",2002,0.01
731,Milk - Excluding Butter,2003,7.38
1208,"Aquatic Animals, Others",2003,0.01
890,Pelagic Fish,2003,1.2
95,Bovine Meat,2003,3.56
201,Pigmeat,2003,4.22
360,"Offals, Edible",2003,1.06
1049,Cephalopods,2003,0.22
519,"Fats, Animals, Raw",2003,0.02
1155,"Meat, Aquatic Mammals",2003,0.0
625,"Fish, Liver Oil",2003,0.0
837,Demersal Fish,2003,0.84
466,Cream,2003,0.03
42,Animal Products,2003,28.64
1102,"Molluscs, Other",2003,0.15
307,"Meat, Other",2003,0.39
996,Crustaceans,2003,0.37
413,"Butter, Ghee",2003,0.02
943,"Marine Fish, Other",2003,0.35
1261,Aquatic Plants,2003,0.11
678,Eggs,2003,2.52
572,"Fish, Body Oil",2003,0.0
784,Freshwater Fish,2003,1.42
148,Mutton & Goat Meat,2003,0.67
254,Poultry Meat,2003,4.08
1103,"Molluscs, Other",2004,0.15
1209,"Aquatic Animals, Others",2004,0.01
785,Freshwater Fish,2004,1.47
732,Milk - Excluding Butter,2004,7.47
679,Eggs,2004,2.54
1050,Cephalopods,2004,0.2
202,Pigmeat,2004,4.16
1156,"Meat, Aquatic Mammals",2004,0.0
308,"Meat, Other",2004,0.36
626,"Fish, Liver Oil",2004,0.0
149,Mutton & Goat Meat,2004,0.69
255,Poultry Meat,2004,4.17
1262,Aquatic Plants,2004,0.12
944,"Marine Fish, Other",2004,0.36
520,"Fats, Animals, Raw",2004,0.02
997,Crustaceans,2004,0.37
361,"Offals, Edible",2004,1.07
891,Pelagic Fish,2004,1.21
838,Demersal Fish,2004,0.85
414,"Butter, Ghee",2004,0.02
96,Bovine Meat,2004,3.57
573,"Fish, Body Oil",2004,0.0
467,Cream,2004,0.03
43,Animal Products,2004,28.87
998,Crustaceans,2005,0.38
839,Demersal Fish,2005,0.85
1104,"Molluscs, Other",2005,0.15
415,"Butter, Ghee",2005,0.02
44,Animal Products,2005,29.28
97,Bovine Meat,2005,3.59
574,"Fish, Body Oil",2005,0.0
468,Cream,2005,0.03
1157,"Meat, Aquatic Mammals",2005,0.0
680,Eggs,2005,2.56
150,Mutton & Goat Meat,2005,0.71
203,Pigmeat,2005,4.19
733,Milk - Excluding Butter,2005,7.6
892,Pelagic Fish,2005,1.23
1210,"Aquatic Animals, Others",2005,0.01
521,"Fats, Animals, Raw",2005,0.02
945,"Marine Fish, Other",2005,0.36
309,"Meat, Other",2005,0.37
256,Poultry Meat,2005,4.24
362,"Offals, Edible",2005,1.07
627,"Fish, Liver Oil",2005,0.0
786,Freshwater Fish,2005,1.56
1263,Aquatic Plants,2005,0.12
1051,Cephalopods,2005,0.19
363,"Offals, Edible",2006,1.07
787,Freshwater Fish,2006,1.64
1105,"Molluscs, Other",2006,0.15
45,Animal Products,2006,29.8
204,Pigmeat,2006,4.28
1052,Cephalopods,2006,0.2
840,Demersal Fish,2006,0.88
416,"Butter, Ghee",2006,0.02
151,Mutton & Goat Meat,2006,0.71
681,Eggs,2006,2.57
1158,"Meat, Aquatic Mammals",2006,0.0
469,Cream,2006,0.03
257,Poultry Meat,2006,4.34
946,"Marine Fish, Other",2006,0.33
1264,Aquatic Plants,2006,0.12
999,Crustaceans,2006,0.39
734,Milk - Excluding Butter,2006,7.74
1211,"Aquatic Animals, Others",2006,0.02
522,"Fats, Animals, Raw",2006,0.02
98,Bovine Meat,2006,3.64
628,"Fish, Liver Oil",2006,0.0
310,"Meat, Other",2006,0.4
893,Pelagic Fish,2006,1.24
575,"Fish, Body Oil",2006,0.0
1212,"Aquatic Animals, Others",2007,0.02
682,Eggs,2007,2.62
1159,"Meat, Aquatic Mammals",2007,0.0
311,"Meat, Other",2007,0.42
417,"Butter, Ghee",2007,0.02
523,"Fats, Animals, Raw",2007,0.02
1265,Aquatic Plants,2007,0.13
258,Poultry Meat,2007,4.53
99,Bovine Meat,2007,3.69
947,"Marine Fish, Other",2007,0.33
470,Cream,2007,0.03
364,"Offals, Edible",2007,1.1
46,Animal Products,2007,30.53
735,Milk - Excluding Butter,2007,7.87
841,Demersal Fish,2007,0.87
1000,Crustaceans,2007,0.41
205,Pigmeat,2007,4.35
629,"Fish, Liver Oil",2007,0.0
576,"Fish, Body Oil",2007,0.0
1053,Cephalopods,2007,0.22
152,Mutton & Goat Meat,2007,0.72
894,Pelagic Fish,2007,1.29
1106,"Molluscs, Other",2007,0.15
788,Freshwater Fish,2007,1.72
47,Animal Products,2008,30.91
683,Eggs,2008,2.68
948,"Marine Fish, Other",2008,0.35
895,Pelagic Fish,2008,1.26
153,Mutton & Goat Meat,2008,0.72
471,Cream,2008,0.04
1160,"Meat, Aquatic Mammals",2008,0.0
206,Pigmeat,2008,4.42
736,Milk - Excluding Butter,2008,7.9
1054,Cephalopods,2008,0.23
100,Bovine Meat,2008,3.64
1213,"Aquatic Animals, Others",2008,0.02
524,"Fats, Animals, Raw",2008,0.03
1266,Aquatic Plants,2008,0.13
365,"Offals, Edible",2008,1.1
418,"Butter, Ghee",2008,0.02
789,Freshwater Fish,2008,1.79
312,"Meat, Other",2008,0.43
577,"Fish, Body Oil",2008,0.0
259,Poultry Meat,2008,4.7
842,Demersal Fish,2008,0.89
1107,"Molluscs, Other",2008,0.15
1001,Crustaceans,2008,0.41
630,"Fish, Liver Oil",2008,0.0
48,Animal Products,2009,31.08
525,"Fats, Animals, Raw",2009,0.02
737,Milk - Excluding Butter,2009,7.99
472,Cream,2009,0.04
207,Pigmeat,2009,4.46
101,Bovine Meat,2009,3.6
631,"Fish, Liver Oil",2009,0.0
1214,"Aquatic Animals, Others",2009,0.02
154,Mutton & Goat Meat,2009,0.71
1002,Crustaceans,2009,0.43
419,"Butter, Ghee",2009,0.02
1108,"Molluscs, Other",2009,0.16
578,"Fish, Body Oil",2009,0.0
790,Freshwater Fish,2009,1.87
896,Pelagic Fish,2009,1.2
260,Poultry Meat,2009,4.75
684,Eggs,2009,2.69
1267,Aquatic Plants,2009,0.13
366,"Offals, Edible",2009,1.08
843,Demersal Fish,2009,0.85
1055,Cephalopods,2009,0.2
313,"Meat, Other",2009,0.45
949,"Marine Fish, Other",2009,0.4
1161,"Meat, Aquatic Mammals",2009,0.0
49,Animal Products,2010,31.52
1003,Crustaceans,2010,0.42
1109,"Molluscs, Other",2010,0.16
685,Eggs,2010,2.71
102,Bovine Meat,2010,3.61
526,"Fats, Animals, Raw",2010,0.03
950,"Marine Fish, Other",2010,0.4
473,Cream,2010,0.03
261,Poultry Meat,2010,4.87
791,Freshwater Fish,2010,1.98
579,"Fish, Body Oil",2010,0.0
367,"Offals, Edible",2010,1.11
1215,"Aquatic Animals, Others",2010,0.02
738,Milk - Excluding Butter,2010,8.1
420,"Butter, Ghee",2010,0.02
1162,"Meat, Aquatic Mammals",2010,0.0
897,Pelagic Fish,2010,1.18
632,"Fish, Liver Oil",2010,0.0
844,Demersal Fish,2010,0.85
1056,Cephalopods,2010,0.19
1268,Aquatic Plants,2010,0.14
208,Pigmeat,2010,4.53
314,"Meat, Other",2010,0.45
155,Mutton & Goat Meat,2010,0.71
1004,Crustaceans,2011,0.43
580,"Fish, Body Oil",2011,0.0
686,Eggs,2011,2.72
315,"Meat, Other",2011,0.46
1216,"Aquatic Animals, Others",2011,0.02
951,"Marine Fish, Other",2011,0.4
50,Animal Products,2011,31.76
792,Freshwater Fish,2011,2.01
845,Demersal Fish,2011,0.86
103,Bovine Meat,2011,3.57
1057,Cephalopods,2011,0.19
262,Poultry Meat,2011,5.01
1163,"Meat, Aquatic Mammals",2011,0.0
421,"Butter, Ghee",2011,0.02
898,Pelagic Fish,2011,1.17
739,Milk - Excluding Butter,2011,8.22
1269,Aquatic Plants,2011,0.14
209,Pigmeat,2011,4.5
1110,"Molluscs, Other",2011,0.17
474,Cream,2011,0.03
527,"Fats, Animals, Raw",2011,0.03
368,"Offals, Edible",2011,1.1
156,Mutton & Goat Meat,2011,0.71
633,"Fish, Liver Oil",2011,0.0
1270,Aquatic Plants,2012,0.15
157,Mutton & Goat Meat,2012,0.71
1217,"Aquatic Animals, Others",2012,0.02
210,Pigmeat,2012,4.61
316,"Meat, Other",2012,0.47
369,"Offals, Edible",2012,1.09
422,"Butter, Ghee",2012,0.02
475,Cream,2012,0.03
528,"Fats, Animals, Raw",2012,0.03
104,Bovine Meat,2012,3.55
581,"Fish, Body Oil",2012,0.0
634,"Fish, Liver Oil",2012,0.0
687,Eggs,2012,2.76
740,Milk - Excluding Butter,2012,8.29
793,Freshwater Fish,2012,2.06
846,Demersal Fish,2012,0.86
263,Poultry Meat,2012,5.08
1164,"Meat, Aquatic Mammals",2012,0.0
1005,Crustaceans,2012,0.45
1111,"Molluscs, Other",2012,0.18
952,"Marine Fish, Other",2012,0.4
51,Animal Products,2012,32.1
1058,Cephalopods,2012,0.19
899,Pelagic Fish,2012,1.15
211,Pigmeat,2013,4.65
264,Poultry Meat,2013,5.16
476,Cream,2013,0.03
1165,"Meat, Aquatic Mammals",2013,0.0
317,"Meat, Other",2013,0.47
1112,"Molluscs, Other",2013,0.17
1271,Aquatic Plants,2013,0.15
423,"Butter, Ghee",2013,0.02
1059,Cephalopods,2013,0.2
1218,"Aquatic Animals, Others",2013,0.02
847,Demersal Fish,2013,0.85
370,"Offals, Edible",2013,1.1
105,Bovine Meat,2013,3.54
529,"Fats, Animals, Raw",2013,0.03
794,Freshwater Fish,2013,2.04
52,Animal Products,2013,32.13
158,Mutton & Goat Meat,2013,0.72
900,Pelagic Fish,2013,1.14
741,Milk - Excluding Butter,2013,8.22
635,"Fish, Liver Oil",2013,0.0
953,"Marine Fish, Other",2013,0.38
582,"Fish, Body Oil",2013,0.0
1006,Crustaceans,2013,0.44
688,Eggs,2013,2.79
1292,Poultry Meat,2014,5.15
1352,Pelagic Fish,2014,1.19
1347,Demersal Fish,2014,0.83
1342,Freshwater Fish,2014,2.26
1297,"Meat, Other",2014,0.4
1337,Milk - Excluding Butter,2014,8.31
1307,"Butter, Ghee",2014,0.03
1302,"Offals, Edible",2014,1.12
1327,"Fish, Liver Oil",2014,0.0
1322,"Fish, Body Oil",2014,0.0
1317,"Fats, Animals, Raw",2014,0.03
1357,"Marine Fish, Other",2014,0.33
1332,Eggs,2014,2.79
1287,Pigmeat,2014,4.41
1312,Cream,2014,0.03
1362,Crustaceans,2014,0.47
1367,Cephalopods,2014,0.22
1272,Animal Products,2014,32.04
1282,Mutton & Goat Meat,2014,0.75
1387,Aquatic Plants,2014,0.01
1372,"Molluscs, Other",2014,0.19
1377,"Meat, Aquatic Mammals",2014,0.0
1382,"Aquatic Animals, Others",2014,0.02
1277,Bovine Meat,2014,3.49
1388,Aquatic Plants,2015,0.01
1313,Cream,2015,0.03
1318,"Fats, Animals, Raw",2015,0.03
1323,"Fish, Body Oil",2015,0.0
1383,"Aquatic Animals, Others",2015,0.02
1333,Eggs,2015,2.84
1358,"Marine Fish, Other",2015,0.36
1373,"Molluscs, Other",2015,0.19
1338,Milk - Excluding Butter,2015,8.27
1343,Freshwater Fish,2015,2.3
1368,Cephalopods,2015,0.21
1348,Demersal Fish,2015,0.84
1353,Pelagic Fish,2015,1.15
1363,Crustaceans,2015,0.49
1328,"Fish, Liver Oil",2015,0.0
1378,"Meat, Aquatic Mammals",2015,0.0
1308,"Butter, Ghee",2015,0.03
1288,Pigmeat,2015,4.46
1293,Poultry Meat,2015,5.25
1273,Animal Products,2015,32.19
1303,"Offals, Edible",2015,1.13
1298,"Meat, Other",2015,0.4
1278,Bovine Meat,2015,3.42
1283,Mutton & Goat Meat,2015,0.74
1299,"Meat, Other",2016,0.38
1334,Eggs,2016,2.9
1279,Bovine Meat,2016,3.4
1339,Milk - Excluding Butter,2016,8.36
1294,Poultry Meat,2016,5.29
1344,Freshwater Fish,2016,2.37
1364,Crustaceans,2016,0.49
1284,Mutton & Goat Meat,2016,0.74
1349,Demersal Fish,2016,0.84
1359,"Marine Fish, Other",2016,0.37
1369,Cephalopods,2016,0.16
1289,Pigmeat,2016,4.49
1354,Pelagic Fish,2016,1.12
1274,Animal Products,2016,32.38
1329,"Fish, Liver Oil",2016,0.0
1379,"Meat, Aquatic Mammals",2016,0.0
1314,Cream,2016,0.03
1389,Aquatic Plants,2016,0.02
1324,"Fish, Body Oil",2016,0.0
1304,"Offals, Edible",2016,1.15
1374,"Molluscs, Other",2016,0.19
1384,"Aquatic Animals, Others",2016,0.02
1309,"Butter, Ghee",2016,0.03
1319,"Fats, Animals, Raw",2016,0.03
1360,"Marine Fish, Other",2017,0.34
1390,Aquatic Plants,2017,0.02
1285,Mutton & Goat Meat,2017,0.73
1375,"Molluscs, Other",2017,0.18
1365,Crustaceans,2017,0.52
1275,Animal Products,2017,32.61
1370,Cephalopods,2017,0.18
1380,"Meat, Aquatic Mammals",2017,0.0
1280,Bovine Meat,2017,3.41
1385,"Aquatic Animals, Others",2017,0.02
1310,"Butter, Ghee",2017,0.03
1290,Pigmeat,2017,4.51
1335,Eggs,2017,2.91
1355,Pelagic Fish,2017,1.13
1340,Milk - Excluding Butter,2017,8.45
1325,"Fish, Body Oil",2017,0.0
1305,"Offals, Edible",2017,1.11
1300,"Meat, Other",2017,0.38
1345,Freshwater Fish,2017,2.42
1295,Poultry Meat,2017,5.35
1320,"Fats, Animals, Raw",2017,0.03
1350,Demersal Fish,2017,0.85
1315,Cream,2017,0.03
1330,"Fish, Liver Oil",2017,0.0
1386,"Aquatic Animals, Others",2018,0.02
1306,"Offals, Edible",2018,1.14
1381,"Meat, Aquatic Mammals",2018,0.0
1316,Cream,2018,0.03
1326,"Fish, Body Oil",2018,0.0
1301,"Meat, Other",2018,0.37
1276,Animal Products,2018,32.89
1321,"Fats, Animals, Raw",2018,0.03
1356,Pelagic Fish,2018,1.12
1331,"Fish, Liver Oil",2018,0.0
1336,Eggs,2018,2.94
1371,Cephalopods,2018,0.18
1296,Poultry Meat,2018,5.37
1281,Bovine Meat,2018,3.48
1341,Milk - Excluding Butter,2018,8.61
1366,Crustaceans,2018,0.51
1346,Freshwater Fish,2018,2.4
1291,Pigmeat,2018,4.55
1361,"Marine Fish, Other",2018,0.33
1351,Demersal Fish,2018,0.84
1286,Mutton & Goat Meat,2018,0.72
1311,"Butter, Ghee",2018,0.03
1376,"Molluscs, Other",2018,0.18
1391,Aquatic Plants,2018,0.02
