year,value,units
1950,1.89E+11,kg
1955,2.70E+11,kg
1960,3.47E+11,kg
1965,4.56E+11,kg
1970,5.95E+11,kg
1975,6.44E+11,kg
1980,7.17E+11,kg
1985,7.19E+11,kg
1990,7.70E+11,kg
1995,7.53E+11,kg
2000,8.50E+11,kg
2001,8.52E+11,kg
2002,9.05E+11,kg
2003,9.71E+11,kg
2004,1.06E+12,kg
2005,1.15E+12,kg
2006,1.25E+12,kg
2007,1.35E+12,kg
2008,1.34E+12,kg
2009,1.24E+12,kg
2010,1.43E+12,kg
2011,1.54E+12,kg
2012,1.56E+12,kg
2013,1.65E+12,kg
2014,1.67E+12,kg
2015,1.62E+12,kg
2016,1.63E+12,kg
2017,1.73E+12,kg
2018,1.81E+12,kg
2019,1.87E+12,kg