year,type,production_million_tonnes,production_kg
1981,coal,3916.5,3.9165E+12
1982,coal,4055.5,4.0555E+12
1983,coal,4063.8,4.0638E+12
1984,coal,4260.5,4.2605E+12
1985,coal,4462.8,4.4628E+12
1986,coal,4578.8,4.5788E+12
1987,coal,4669,4.669E+12
1988,coal,4777.3,4.7773E+12
1989,coal,4867.2,4.8672E+12
1990,coal,4764.3,4.7643E+12
1991,coal,4589.8,4.5898E+12
1992,coal,4556.7,4.5567E+12
1993,coal,4424.9,4.4249E+12
1994,coal,4512,4.512E+12
1995,coal,4638.7,4.6387E+12
1996,coal,4703.6,4.7036E+12
1997,coal,4741.3,4.7413E+12
1998,coal,4647.5,4.6475E+12
1999,coal,4653.7,4.6537E+12
2000,coal,4707.8,4.7078E+12
2001,coal,4920.7,4.9207E+12
2002,coal,4966.1,4.9661E+12
2003,coal,5321.3,5.3213E+12
2004,coal,5729.4,5.7294E+12
2005,coal,6087,6.087E+12
2006,coal,6419.8,6.4198E+12
2007,coal,6672.8,6.6728E+12
2008,coal,6933.5,6.9335E+12
2009,coal,7050.8,7.0508E+12
2010,coal,7459.9,7.4599E+12
2011,coal,7956.5,7.9565E+12
2012,coal,8184.4,8.1844E+12
2013,coal,8255.3,8.2553E+12
2014,coal,8178.5,8.1785E+12
2015,coal,7946.8,7.9468E+12
2016,coal,7478.2,7.4782E+12
2017,coal,7700.7,7.7007E+12
2018,coal,8090.9,8.0909E+12
2019,coal,8129.4,8.1294E+12