kingdom,class_order,extinct,extinct_in_wild,probably_extinct,probably_extinct_in_wild,total_species_assessed
animalia,ACTINOPTERYGII,64,10,111,4,19624.00
animalia,AMPHIBIA,35,2,131,3,6892.00
animalia,ANTHOZOA,0,0,1,0,868.00
animalia,ARACHNIDA,9,0,21,0,344.00
animalia,AVES,159,5,22,0,11147.00
animalia,BIVALVIA,32,0,15,0,801.00
animalia,BRANCHIOPODA,0,0,0,0,42.00
animalia,CEPHALASPIDOMORPHI,1,0,1,0,37.00
animalia,CEPHALOPODA,0,0,0,0,750.00
animalia,CHILOPODA,0,0,2,0,10.00
animalia,CHONDRICHTHYES,0,0,3,0,1134.00
animalia,CLITELLATA,2,0,4,0,222.00
animalia,DIPLOPODA,3,0,4,0,200.00
animalia,ECHINOIDEA,0,0,0,0,1.00
animalia,ENOPLA,1,0,1,0,6.00
animalia,ENTOGNATHA,0,0,2,0,6.00
animalia,GASTROPODA,267,14,134,2,7221.00
animalia,HOLOTHUROIDEA,0,0,0,0,371.00
animalia,HYDROZOA,0,0,1,0,16.00
animalia,INSECTA,63,1,68,0,9793.00
animalia,MALACOSTRACA,7,1,17,1,3016.00
animalia,MAMMALIA,84,2,29,0,5899.00
animalia,MAXILLOPODA,2,0,0,0,110.00
animalia,MEROSTOMATA,0,0,0,0,4.00
animalia,MYXINI,0,0,0,0,76.00
animalia,ONYCHOPHORA,0,0,0,0,11.00
animalia,OSTRACODA,2,0,0,0,13.00
animalia,POLYCHAETA,0,0,0,0,2.00
animalia,REPTILIA,30,3,41,0,7833.00
animalia,SARCOPTERYGII,0,0,0,0,7.00
animalia,TURBELLARIA,1,0,0,0,1.00
chromista,PHAEOPHYCEAE,0,0,4,0,15.00
fungi,AGARICOMYCETES,0,0,1,0,279.00
fungi,ARTHONIOMYCETES,0,0,0,0,1.00
fungi,EUROTIOMYCETES,0,0,0,0,2.00
fungi,GEOGLOSSOMYCETES,0,0,0,0,4.00
fungi,LECANOROMYCETES,0,0,0,0,29.00
fungi,LEOTIOMYCETES,0,0,0,0,7.00
fungi,NOT ASSIGNED,0,0,0,0,1.00
fungi,PEZIZOMYCETES,0,0,0,0,11.00
fungi,SORDARIOMYCETES,0,0,0,0,7.00
fungi,USTILAGINOMYCETES,0,0,0,0,2.00
plantae,ANDREAEOPSIDA,0,0,0,0,2.00
plantae,ANTHOCEROTOPSIDA,0,0,0,0,2.00
plantae,BRYOPSIDA,4,0,0,0,171.00
plantae,CHAROPHYACEAE,0,0,0,0,14.00
plantae,CHLOROPHYCEAE,0,0,0,0,1.00
plantae,CYCADOPSIDA,0,4,0,4,307.00
plantae,FLORIDEOPHYCEAE,1,0,2,0,58.00
plantae,GINKGOOPSIDA,0,0,0,0,1.00
plantae,GNETOPSIDA,0,0,0,0,97.00
plantae,JUNGERMANNIOPSIDA,0,0,0,0,85.00
plantae,LILIOPSIDA,12,8,78,11,7627.00
plantae,LYCOPODIOPSIDA,0,0,2,0,95.00
plantae,MAGNOLIOPSIDA,101,26,233,24,33889.00
plantae,MARCHANTIOPSIDA,0,0,0,0,13.00
plantae,PINOPSIDA,0,0,1,0,610.00
plantae,POLYPODIOPSIDA,2,1,8,0,576.00
plantae,POLYTRICHOPSIDA,0,0,0,0,1.00
plantae,SPHAGNOPSIDA,0,0,0,0,6.00
plantae,TAKAKIOPSIDA,0,0,0,0,1.00
plantae,ULVOPHYCEAE,0,0,0,0,1.00