year.decimal,Antarctic Mass Gt,Antarctic Mass Gt (1-sigma uncertainty)
2002.29,0,178.9
2002.35,19.07,102.47
2002.62,-58.21,83.09
2002.71,47.58,97.19
2002.79,64.69,61.82
2002.87,-67.45,58.68
2002.96,-49.06,59.19
2003.04,-47.42,64.73
2003.12,-198.25,48.1
2003.2,-170.61,42.95
2003.29,-43.25,43.58
2003.36,0.69,48.24
2003.54,-127.83,37.86
2003.62,-122.14,39.87
2003.71,-129.54,39.61
2003.79,-47.99,40.19
2003.87,-106.4,40.89
2003.96,-271.65,39.82
2004.02,-328.31,43.72
2004.13,-491.12,40.46
2004.21,-341.19,37.97
2004.29,-387.29,37.56
2004.37,-155.68,38.36
2004.46,-188.01,37.47
2004.54,-313.3,34.08
2004.62,-166.18,35.44
2004.71,-160.1,36.2
2004.79,-85.59,33.33
2004.87,-226.18,36.02
2004.96,-305.18,35.33
2005.04,-394.36,33.76
2005.12,-455.78,35.22
2005.2,-405.02,34.97
2005.29,-251.59,34.3
2005.37,-227.67,35.04
2005.46,-202.84,35.16
2005.54,-158.66,33.88
2005.62,-209.18,34.19
2005.71,-112.52,33.91
2005.79,-105.82,33.17
2005.87,-58.89,33.08
2005.96,-158.51,38.45
2006.04,-224.85,34.46
2006.12,-317.65,35.03
2006.2,-182.43,35.19
2006.29,-157.71,35.23
2006.37,-81.71,35.51
2006.45,-48.38,37.9
2006.54,-97.51,37.37
2006.62,-7.04,36.14
2006.71,-19.9,37.96
2006.79,-95.19,37
2006.87,-89.42,36.85
2006.96,-234.08,37.92
2007.04,-438.52,38.38
2007.12,-430.1,37.94
2007.2,-360.24,37.66
2007.29,-335.63,37.77
2007.37,-178.34,37.57
2007.45,-190.96,38.38
2007.54,-267.51,37.52
2007.62,-228.92,39.45
2007.71,-156.79,39.17
2007.79,-246.21,39.51
2007.87,-438.1,40.82
2007.96,-520.48,39.77
2008.04,-730,39.43
2008.12,-607.89,41.45
2008.21,-739.86,40.25
2008.29,-560.11,42.17
2008.37,-472.75,40.75
2008.46,-557.84,40.38
2008.54,-651.39,40.84
2008.62,-603.21,40.15
2008.71,-442.52,40.44
2008.79,-532.99,39.48
2008.87,-519.8,40.89
2008.96,-623.73,40.43
2009.04,-706.38,39.6
2009.12,-681.34,39.72
2009.2,-616.03,39.33
2009.29,-580.3,36.58
2009.37,-552.57,35.97
2009.46,-539.59,35.73
2009.54,-434.77,36.75
2009.62,-466.2,34.71
2009.71,-480.1,33.67
2009.79,-535.17,33.92
2009.87,-520.57,33.46
2009.96,-630.76,33.43
2010.04,-801.53,33.03
2010.12,-806.45,32.76
2010.2,-686.92,34.51
2010.29,-758.77,32.2
2010.37,-779.74,32.63
2010.45,-792.71,38.44
2010.54,-997.4,35.63
2010.62,-926.05,34.62
2010.71,-846.82,36.4
2010.79,-879.54,38.44
2010.87,-899.57,39.59
2010.95,-911.92,40.67
2011.13,-1001.93,43.16
2011.2,-1017.91,41.62
2011.29,-1029.21,41.22
2011.37,-965.94,40.16
2011.54,-909.49,42.75
2011.62,-925.97,40.5
2011.71,-837.87,39.71
2011.79,-884.32,38.98
2011.83,-880.1,39.28
2012,-1148.13,39.05
2012.04,-1078.39,37.63
2012.12,-1141.59,38.79
2012.21,-1118.92,37.12
2012.26,-1057.43,43.32
2012.46,-1094.8,39.99
2012.54,-1061.81,38.8
2012.62,-983.9,37.7
2012.7,-946.99,41.16
2012.88,-1068.03,41.62
2012.96,-1117.19,39.53
2013.04,-1287.84,38.98
2013.12,-1396.48,40.16
2013.3,-1134.6,41.36
2013.37,-1238.49,37.57
2013.46,-1246.17,38.44
2013.54,-1208.56,37.79
2013.79,-1298.93,38.01
2013.87,-1348.31,36.03
2013.96,-1398.64,35.45
2014.02,-1504.34,40.12
2014.2,-1615.74,32.35
2014.29,-1536,33.19
2014.37,-1442.34,33.14
2014.45,-1485.23,35.04
2014.62,-1533.38,33.51
2014.71,-1360.26,33
2014.79,-1451.35,31.99
2014.88,-1527,31.56
2015.06,-1828.02,35.31
2015.12,-1904.03,56.93
2015.2,-1874.16,30.75
2015.29,-1852.03,32.24
2015.32,-1778.55,34.83
2015.53,-1743.12,37.19
2015.62,-1898.27,34.62
2015.7,-1850.54,36.97
2015.98,-1894.18,36.86
2016.04,-1917.06,35.36
2016.12,-1993.63,34.1
2016.21,-1929.02,35.08
2016.38,-1791.13,37.4
2016.46,-1775.11,34.44
2016.54,-1655.19,34.27
2016.64,-1602.74,36.53
2016.91,-1670.14,61.29
2016.98,-1585.44,61.17
2017.06,-1605.69,60.6
2017.25,-1930.03,61.91
2017.31,-1849.52,61.28
2017.36,-1813.65,59.9
2017.44,-1812.9,59.83
2018.45,-1983.2,35.1
2018.52,-1998.06,31.43
2018.83,-2257.32,30.3
2018.87,-2222.49,28.2
2018.96,-2276.18,27.41
2019.04,-2366.91,27.15
2019.12,-2409.83,27.11
2019.2,-2314.16,26.87
2019.29,-2133.68,26.88
2019.37,-2185.43,26.79
2019.45,-2278.03,27.46
2019.54,-2182.92,28.26
2019.62,-2228.26,29.04
2019.71,-2104.61,29.96
2019.79,-2285.84,30.74
2019.87,-2346.92,31.48
2019.96,-2392.94,32.35
2020.04,-2701.95,33.7
2020.12,-2805.1,40.08
2020.21,-2624.99,46.6
2020.29,-2530.31,54.9
2020.37,-2446.87,63.71